gender,worthChange,name,timestamp,industry,lastName,uri,imageUri,realTimeWorth,source,realTimePosition,squareImage,realTimeRank,country,age,title,headquarters,state,rank,worth,government,position,pay,managementAssets,salary
M,,Cao Kejian,1518125622562,Manufacturing,Cao,cao-kejian,http://i.forbesimg.com/media/lists/people/cao-kejian_100x100.jpg,,air compressors,,//specials-images.forbesimg.com/imageserve/49e29e276e6cce1a013720fcdb4c4bcc/416x416.jpg?background=000000&cropX1=0&cropX2=742&cropY1=127&cropY2=870,,China,56,,,,1468,1400.0,,1490,,,
M,,Che Fengsheng,1518125527229,Healthcare,Che,che-fengsheng,http://i.forbesimg.com/media/lists/people/che-fengsheng_100x100.jpg,,pharmaceuticals,,//specials-images.forbesimg.com/imageserve/871285167e7dcc8b92191ae50f6c442b/416x416.jpg?background=000000&cropX1=27&cropX2=695&cropY1=0&cropY2=669,,China,55,,,,1468,1400.0,,1491,,,
M,,Chen Dakui,1519935327580,Manufacturing,Chen,chen-dakui,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,,shrink-wrap film,,,,China,66,,,,1468,1400.0,,1492,,,
M,,Chen Nianci,1518126052704,Fashion & Retail,Chen,chen-nianci,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,,retail,,,,China,66,,,,1468,1400.0,,1493,,,
M,3.37,Bruce Cheng,1531878901818,Technology,Cheng,bruce-cheng,http://i.forbesimg.com/media/lists/people/bruce-cheng_100x100.jpg,1024.649,electronics,2088,//specials-images.forbesimg.com/imageserve/d304679d94328b2f0da6abd0111eaead/416x416.jpg?background=000000&cropX1=2&cropX2=717&cropY1=63&cropY2=778,2088,Taiwan,82,,,,1468,1400.0,,1494,,,
M,10.992,Chua Thian Poh,1531878901818,Real Estate,Chua,chua-thian-poh,http://i.forbesimg.com/media/lists/people/chua-thian-poh_100x100.jpg,1488.53,real estate,1585,//specials-images.forbesimg.com/imageserve/596e7c9aa7ea433081d24d7e/416x416.jpg?background=000000&cropX1=6&cropX2=1206&cropY1=60&cropY2=1260,1585,Singapore,70,,,,1468,1400.0,,1495,,,
M,0.0,Gustavo Cisneros,1531878901818,Media & Entertainment,Cisneros,gustavo-cisneros,http://i.forbesimg.com/media/lists/people/gustavo-cisneros_100x100.jpg,1074.17,media,2036,//specials-images.forbesimg.com/imageserve/5a8136e6a7ea431690134190/416x416.jpg?background=000000&cropX1=244&cropX2=2233&cropY1=9&cropY2=1996,2036,Venezuela,73,,,,1468,1400.0,,1496,,,
M,0.0,Robert Defares,1531878901818,Finance and Investments,Defares,robert-defares,http://i.forbesimg.com/media/lists/people/no-pic_100x100.jpg,1500.819,electronic trading,1573,,1573,Netherlands,56,,,,1468,1400.0,,1497,,,
M,0.0,Richard Desmond,1531878901818,Media & Entertainment,Desmond,richard-desmond,http://i.forbesimg.com/media/lists/people/richard-desmond_100x100.jpg,1438.301,publishing,1619,//specials-images.forbesimg.com/imageserve/5a81618831358e4955ad3474/416x416.jpg?background=000000&cropX1=2&cropX2=963&cropY1=4&cropY2=964,1619,United Kingdom,66,,,,1468,1400.0,,1498,,,
M,0.0,Mohammed Dewji,1531878901818,Diversified,Dewji,mohammed-dewji,http://i.forbesimg.com/media/lists/people/mohammed-dewji_100x100.jpg,1520.609,diversified,1551,//specials-images.forbesimg.com/imageserve/f4702a40d1bf22563232e0028aa968db/416x416.jpg?background=000000&cropX1=43&cropX2=724&cropY1=27&cropY2=709,1551,Tanzania,43,,,,1468,1400.0,,1499,,,
